dataset_id,row_id,unit_id,role,order,relative_image_path,original_split
coco,000000095176,000000095176,train,0,train2017/000000095176.jpg,train2017
coco,000000266228,000000266228,train,1,train2017/000000266228.jpg,train2017
coco,000000364618,000000364618,train,2,train2017/000000364618.jpg,train2017
coco,000000557451,000000557451,train,3,train2017/000000557451.jpg,train2017
coco,000000553308,000000553308,train,4,train2017/000000553308.jpg,train2017
coco,000000103547,000000103547,train,5,train2017/000000103547.jpg,train2017
coco,000000346107,000000346107,train,6,train2017/000000346107.jpg,train2017
coco,000000308078,000000308078,train,7,train2017/000000308078.jpg,train2017
coco,000000577939,000000577939,train,8,train2017/000000577939.jpg,train2017
coco,000000112604,000000112604,train,9,train2017/000000112604.jpg,train2017
coco,000000044266,000000044266,train,10,train2017/000000044266.jpg,train2017
coco,000000229140,000000229140,train,11,train2017/000000229140.jpg,train2017
coco,000000075002,000000075002,train,12,train2017/000000075002.jpg,train2017
coco,000000352565,000000352565,train,13,train2017/000000352565.jpg,train2017
coco,000000391521,000000391521,train,14,train2017/000000391521.jpg,train2017
coco,000000398279,000000398279,train,15,train2017/000000398279.jpg,train2017
coco,000000093219,000000093219,train,16,train2017/000000093219.jpg,train2017
coco,000000468493,000000468493,train,17,train2017/000000468493.jpg,train2017
coco,000000135759,000000135759,train,18,train2017/000000135759.jpg,train2017
coco,000000439758,000000439758,train,19,train2017/000000439758.jpg,train2017
coco,000000151733,000000151733,train,20,train2017/000000151733.jpg,train2017
coco,000000507879,000000507879,train,21,train2017/000000507879.jpg,train2017
coco,000000566128,000000566128,train,22,train2017/000000566128.jpg,train2017
coco,000000008320,000000008320,train,23,train2017/000000008320.jpg,train2017
coco,000000206398,000000206398,train,24,train2017/000000206398.jpg,train2017
coco,000000341628,000000341628,train,25,train2017/000000341628.jpg,train2017
coco,000000536027,000000536027,train,26,train2017/000000536027.jpg,train2017
coco,000000267985,000000267985,train,27,train2017/000000267985.jpg,train2017
coco,000000518199,000000518199,train,28,train2017/000000518199.jpg,train2017
coco,000000547168,000000547168,train,29,train2017/000000547168.jpg,train2017
coco,000000384953,000000384953,train,30,train2017/000000384953.jpg,train2017
coco,000000246099,000000246099,train,31,train2017/000000246099.jpg,train2017
coco,000000272958,000000272958,train,32,train2017/000000272958.jpg,train2017
coco,000000077837,000000077837,train,33,train2017/000000077837.jpg,train2017
coco,000000161854,000000161854,train,34,train2017/000000161854.jpg,train2017
coco,000000057433,000000057433,train,35,train2017/000000057433.jpg,train2017
coco,000000276620,000000276620,train,36,train2017/000000276620.jpg,train2017
coco,000000008594,000000008594,train,37,train2017/000000008594.jpg,train2017
coco,000000557567,000000557567,train,38,train2017/000000557567.jpg,train2017
coco,000000503005,000000503005,train,39,train2017/000000503005.jpg,train2017
coco,000000537169,000000537169,train,40,train2017/000000537169.jpg,train2017
coco,000000103819,000000103819,train,41,train2017/000000103819.jpg,train2017
coco,000000502015,000000502015,train,42,train2017/000000502015.jpg,train2017
coco,000000099466,000000099466,train,43,train2017/000000099466.jpg,train2017
coco,000000457824,000000457824,train,44,train2017/000000457824.jpg,train2017
coco,000000123127,000000123127,train,45,train2017/000000123127.jpg,train2017
coco,000000302260,000000302260,train,46,train2017/000000302260.jpg,train2017
coco,000000555339,000000555339,train,47,train2017/000000555339.jpg,train2017
coco,000000060202,000000060202,train,48,train2017/000000060202.jpg,train2017
coco,000000433441,000000433441,train,49,train2017/000000433441.jpg,train2017
coco,000000354019,000000354019,train,50,train2017/000000354019.jpg,train2017
coco,000000434200,000000434200,train,51,train2017/000000434200.jpg,train2017
coco,000000014835,000000014835,train,52,train2017/000000014835.jpg,train2017
coco,000000111606,000000111606,train,53,train2017/000000111606.jpg,train2017
coco,000000248236,000000248236,train,54,train2017/000000248236.jpg,train2017
coco,000000561013,000000561013,train,55,train2017/000000561013.jpg,train2017
coco,000000365541,000000365541,train,56,train2017/000000365541.jpg,train2017
coco,000000376718,000000376718,train,57,train2017/000000376718.jpg,train2017
coco,000000497501,000000497501,train,58,train2017/000000497501.jpg,train2017
coco,000000487487,000000487487,train,59,train2017/000000487487.jpg,train2017
coco,000000484304,000000484304,train,60,train2017/000000484304.jpg,train2017
coco,000000456436,000000456436,train,61,train2017/000000456436.jpg,train2017
coco,000000552204,000000552204,train,62,train2017/000000552204.jpg,train2017
coco,000000492606,000000492606,train,63,train2017/000000492606.jpg,train2017
coco,000000219141,000000219141,train,64,train2017/000000219141.jpg,train2017
coco,000000316224,000000316224,train,65,train2017/000000316224.jpg,train2017
coco,000000264244,000000264244,train,66,train2017/000000264244.jpg,train2017
coco,000000547636,000000547636,train,67,train2017/000000547636.jpg,train2017
coco,000000212311,000000212311,train,68,train2017/000000212311.jpg,train2017
coco,000000252139,000000252139,train,69,train2017/000000252139.jpg,train2017
coco,000000479219,000000479219,train,70,train2017/000000479219.jpg,train2017
coco,000000137937,000000137937,train,71,train2017/000000137937.jpg,train2017
coco,000000204680,000000204680,train,72,train2017/000000204680.jpg,train2017
coco,000000370918,000000370918,train,73,train2017/000000370918.jpg,train2017
coco,000000263400,000000263400,train,74,train2017/000000263400.jpg,train2017
coco,000000281827,000000281827,train,75,train2017/000000281827.jpg,train2017
coco,000000199204,000000199204,train,76,train2017/000000199204.jpg,train2017
coco,000000027104,000000027104,train,77,train2017/000000027104.jpg,train2017
coco,000000261186,000000261186,train,78,train2017/000000261186.jpg,train2017
coco,000000422855,000000422855,train,79,train2017/000000422855.jpg,train2017
coco,000000222383,000000222383,train,80,train2017/000000222383.jpg,train2017
coco,000000064092,000000064092,train,81,train2017/000000064092.jpg,train2017
coco,000000328121,000000328121,train,82,train2017/000000328121.jpg,train2017
coco,000000467760,000000467760,train,83,train2017/000000467760.jpg,train2017
coco,000000496673,000000496673,train,84,train2017/000000496673.jpg,train2017
coco,000000269033,000000269033,train,85,train2017/000000269033.jpg,train2017
coco,000000088754,000000088754,train,86,train2017/000000088754.jpg,train2017
coco,000000393094,000000393094,train,87,train2017/000000393094.jpg,train2017
coco,000000058270,000000058270,train,88,train2017/000000058270.jpg,train2017
coco,000000247519,000000247519,train,89,train2017/000000247519.jpg,train2017
coco,000000368154,000000368154,train,90,train2017/000000368154.jpg,train2017
coco,000000563771,000000563771,train,91,train2017/000000563771.jpg,train2017
coco,000000023429,000000023429,train,92,train2017/000000023429.jpg,train2017
